Track Name,Method Name,Estimate Label,Window Size (s),Window Raster (s),Measurement Index,SDR (dB)
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,0.5,24,2.0899812721567974
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,0.5,25,4.478755214042943
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,0.5,26,7.415109369863102
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,0.5,27,7.815940092399279
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,0.5,28,4.361012819260951
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,0.5,29,4.671611458648759
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,0.5,30,6.092556542118498
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,0.5,31,6.893692630040404
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,0.5,32,5.412559821776109
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,0.5,33,5.290244374556914
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,0.5,34,4.143578504743587
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,0.5,35,5.17111507580725
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,0.5,36,6.806843654344263
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,0.5,37,5.208054095190482
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,0.5,38,5.096174099979734
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,0.5,39,6.370180331398556
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,0.5,40,7.319023498061666
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,0.5,41,6.382522789775664
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,0.5,42,5.426951518753874
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,0.5,43,5.289016725349601
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,0.5,44,1.8629041445224144
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,0.5,45,0.20079691102736735
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,0.5,46,-1.4294494329629273
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,0.5,47,-1.0794381382104088
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,0.5,48,1.254349321296434
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,0.5,49,2.1734776420737663
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,0.5,50,1.8569853122470736
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,0.5,51,1.6678912289090775
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,0.5,52,2.741508507932731
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,0.5,53,2.0661122482681966
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,0.5,54,0.7882852702346677
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,0.5,55,6.838131769773805
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,0.5,56,9.148166053195045
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,0.5,57,9.579701919292695
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,0.5,58,8.069346292192902
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,0,5.328150290021866
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,1,6.618043516940197
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,2,8.12893298473388
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,3,3.5395600996359677
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,4,3.1848068723830507
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,5,3.2980229435893142
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,6,6.09459630713597
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,7,9.170962470345538
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,8,11.378352022970724
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,9,11.938138101675397
